,A14,B07,A02,A27,A07,A04,B05,B17,B10,A08,A15,B22,B02,B06
518,26994,27866,29017,26990,28314,27008,26860,26428,26994,26140,23294,23122,16353,
519,26994,27866,29016,26989,28314,27008,27866,25422,26994,25852,23294,23122,16353,
520,26994,27866,28873,26989,28170,27008,26716,25423,26994,25564,23294,23122,16353,
521,26994,27866,28872,26989,28170,27008,27866,26574,26994,25276,23294,23122,16353,
522,26574,27866,28729,26989,28170,27008,27579,25164,26994,24844,23294,23122,16352,
523,26574,27722,28727,26989,28170,27008,27147,25308,26994,24556,23150,23122,16352,
524,26426,27722,28584,26989,28170,27008,26859,25309,26994,25563,23150,23122,16352,
525,26426,27722,28583,26989,27309,27008,27578,25309,26994,25275,23149,23122,16352,
526,26699,27722,28439,26989,28170,27008,27290,25453,26995,24843,,23122,16352,
527,26699,27721,28438,26989,27309,27008,28152,25596,26995,25705,,23122,16639,
528,26281,27578,28295,26989,28170,27008,28152,25597,26995,25704,,23122,16783,
529,26281,27578,28294,26989,27309,27008,28151,25741,26995,25560,,23122,17215,
530,26281,27578,28151,26989,27309,27008,28151,25742,26995,25560,,23264,17503,
531,26281,27578,28149,26989,27309,27008,28150,25742,26995,25559,,23264,17791,
532,26136,27578,28005,26989,28026,27008,28006,25887,26995,25414,,23264,18079,
533,26135,27434,28005,26989,27165,27295,28006,27295,26995,25415,,23120,18367,
534,26135,27433,27860,26989,27165,27295,28005,26996,26995,25415,,23119,18655,
535,25990,27433,27860,26989,28026,27294,27861,26996,26995,25414,,23119,19086,
536,25989,27433,27716,26989,27882,27292,27861,26996,26995,25270,,23119,19374,
537,25989,27290,27572,26989,27882,27290,27860,26996,26995,25270,,23118,19662,
538,25987,27290,27571,26989,27882,27433,27860,26996,26995,25270,,23118,19950,
539,25842,27290,27428,26989,27021,27288,27716,26996,26995,25270,,22974,20382,
540,25842,27289,27282,26989,27021,27288,27715,26996,26994,25269,,22973,20813,
541,25841,27288,27283,26989,26590,27288,27715,25584,26994,25413,,22973,21101,
542,25695,27460,27282,26989,26590,27288,27716,26853,26994,25558,,22973,21533,
543,25839,27462,27139,26989,26590,27144,27571,25441,26994,25557,,22973,21965,
544,25694,27463,26994,26989,27738,27144,27571,25441,26994,25996,,22973,22253,
545,25548,27464,26849,27132,27738,27144,27570,25440,26994,25996,,22973,22828,
546,25692,27466,26849,27132,27738,27000,27570,25440,26994,25996,,22828,22828,
547,25547,27467,26704,27132,27738,27000,27425,25296,26994,25996,,22828,22827,
548,25545,27468,26704,27132,27594,27000,27425,25296,26994,25852,,22828,,
549,25545,27470,26560,27132,27594,27000,27423,25296,27137,25852,,22828,,
550,25402,27471,26560,27132,27594,26855,27423,25438,27136,25852,,22828,,
551,25400,27473,26415,27131,27594,26855,27279,25294,27136,25852,,22682,,
552,25400,27474,26271,27131,27594,26855,27279,25294,27137,25851,,22683,,
553,25256,27476,26270,27131,27594,26855,27277,25294,27137,25851,,22683,,
554,25256,27477,26127,27131,27450,26711,27277,25294,26993,25707,,22537,,
555,25258,27479,25982,27131,27450,26709,27132,25294,26994,25707,,22538,,
556,25549,27480,25982,27131,27450,26708,27132,25150,26992,25707,,22538,,
557,25696,27482,25837,27131,27450,26562,27131,25293,26848,,,22392,,
558,25842,27484,25837,27131,27451,26561,27131,25292,26849,,,22393,,
559,25844,27307,25692,26702,26446,26560,26987,25292,26849,,,22393,,
560,25990,27307,25547,26414,26302,26558,26987,25148,26848,,,22248,,
561,26136,27307,25404,26270,26158,26414,26987,25148,26848,,,22248,,
562,26282,27307,25259,25981,26158,26415,26987,25148,26704,,,22248,,
563,26428,27163,25259,25837,26445,26413,26987,25148,26704,,,22103,,
564,25997,27163,25114,25547,26301,24535,26987,25290,26704,,,22103,,
565,25709,27163,24970,25259,26157,24535,26844,25146,26559,,,22103,,
566,25565,27163,24825,25114,26157,25112,26703,25146,26560,,,21958,,
567,24845,27163,24826,24826,26444,25831,26561,25146,26560,,,21958,,
568,25852,27019,24681,24537,26300,25831,26563,25146,26560,24390,,21958,,
569,25564,27019,24681,24246,26300,25831,26421,25145,26415,24391,,21813,,
570,25276,27019,24536,24393,26156,25832,26423,25145,26415,24247,,21813,,
571,24556,27019,24393,24683,26443,25832,26281,25145,26415,24248,,21813,,
572,25563,27019,24248,24829,26299,25688,26282,25144,26415,24248,,21668,,
573,25275,26875,24101,24975,26299,25689,26282,25144,26270,24248,,21668,,
574,24555,26875,24102,25121,26155,25834,25274,25000,26270,24104,,21523,,
575,25706,26875,24102,25267,26586,25834,25847,25000,26270,24104,,21523,,
576,25274,26875,24246,25413,26442,25689,25848,25000,26270,24104,,21523,,
577,24842,26875,24246,25702,26298,25689,25991,25000,26126,23961,,21378,,
578,25705,26731,24246,25990,26154,25688,25849,25000,26125,23959,,21378,,
579,25417,26731,24390,25990,26010,25688,26137,24998,26125,23816,,21378,,
580,24841,26731,24390,25990,26441,25689,25994,24998,25981,23816,,21233,,
581,25560,26731,24390,25990,26297,25688,26137,24998,25982,23816,,21233,,
582,25416,26587,24535,25847,26153,25688,24555,24998,25980,23672,,21233,,
583,24984,26587,24535,25559,26009,25688,25993,24998,25980,23673,,21087,,
584,24408,26587,24679,25414,26440,25688,24555,24997,25837,23673,,21087,,
585,25415,26587,24679,25269,26296,25688,25706,24997,25837,23673,,20943,,
586,24983,26587,24679,25411,26152,25688,25274,24997,25691,23529,,20942,,
587,24263,26587,24679,25409,26583,25688,25274,24996,25692,23528,,20942,,
588,25269,26443,24679,25552,26439,25689,24842,24996,25692,23385,,20798,,
589,25269,26443,24679,25550,26439,25688,24410,24852,25692,23385,,20653,,
590,25125,26443,24824,25548,26295,25688,24410,24852,25692,23385,,20653,,
591,25125,26444,24824,25691,26151,25545,25849,24852,25547,23385,,20508,,
592,25125,26300,24968,25688,26582,25401,25417,24852,25547,23242,,20508,,
593,25125,26300,24968,25688,26438,25402,25417,26410,25547,23242,,20508,,
594,24981,26300,24968,25688,26150,25256,24841,26411,25547,23242,,20362,,
595,24980,26300,25112,25688,26006,25257,24409,26411,25402,23242,,20362,,
596,24980,26300,25112,25688,26437,25256,24409,26411,25402,22952,,20362,,
597,24836,25147,25112,25557,26293,25256,25848,26411,25402,22953,,20217,,
598,24837,24711,25256,25557,26149,25257,25416,26411,25259,22953,,20217,,
599,24837,24706,25257,25557,26005,25257,25416,26411,25257,22953,,20217,,
600,24837,25277,25257,25558,26580,25257,24984,26411,25113,22810,,19928,,
601,24837,25703,25401,25558,26436,25257,24408,26410,25114,22810,,19928,,
602,24837,25711,25401,25557,26148,25257,24408,26410,25114,22810,,19928,,
603,24837,25862,25401,25557,26004,25257,25847,26266,25114,22810,,19783,,
604,24837,26012,25401,25408,26579,25257,25702,26266,24969,22667,,19783,,
605,24691,26012,25401,25257,26435,25257,25702,26266,24969,22522,,19783,,
606,24691,26012,25545,25257,26291,25257,25702,26266,24969,22522,,19637,,
607,24547,25868,25545,25257,26147,25257,25702,26266,24969,22522,,19637,,
608,24547,25868,25545,25257,26722,25257,25702,26266,24824,22522,,19347,,
609,24547,25868,25690,25257,26434,25257,25558,26266,24824,22378,,19348,,
610,24547,25868,25690,25257,26290,25257,25558,26266,24824,22379,,19348,,
611,24403,25868,25690,25257,26146,25257,25558,26266,24680,22379,,19202,,
612,24402,25868,25690,25257,26002,25701,25413,26266,24679,22379,,19202,,
613,24402,24432,25690,25257,26577,25257,25413,26266,24679,22235,,19202,,
614,24402,24432,25834,25257,26433,25701,25268,26266,24536,22236,,18912,,
615,24258,25724,25834,25257,26145,25701,25268,26266,24536,22091,,18912,,
616,24259,24288,25834,25257,26001,25701,25123,26266,24536,22091,,18913,,
617,24258,24288,25978,25257,26720,25701,25123,26266,24391,22091,,18767,,
618,24258,24288,25978,25257,26432,25701,25122,26266,24391,22091,,18767,,
619,24114,25724,25979,25257,26288,25701,25122,26266,24391,21947,,18767,,
620,24113,24144,26123,25257,26000,25701,24977,26266,24391,21947,,18477,,
621,24113,25580,26123,25402,26719,25701,24977,26266,24245,21803,,18478,,
622,24113,24000,26123,25402,26575,25700,24832,26266,24245,21804,,18478,,
623,24113,25580,26123,25402,26287,25700,24832,26121,24102,21804,,18332,,
624,23969,25580,26123,25546,26143,25700,24687,25983,24102,21659,,18332,,
625,23969,24000,26267,25546,26862,25701,24687,25700,23957,21659,,18041,,
626,23969,25580,26267,25546,26718,25699,24542,25700,23957,21515,,18043,,
627,24408,24000,26267,25546,26430,25698,24542,25699,23957,21516,,17897,,
628,24408,25580,26412,25546,26142,25696,24397,23999,23957,21516,,17753,,
629,24408,25436,26412,25546,25998,25696,24252,25843,23957,21516,,17753,,
630,24408,24287,26412,25546,26573,25694,24252,25843,23812,21372,,17609,,
631,24408,24143,26412,25402,26285,25692,24107,24142,23812,21373,,17609,,
632,23824,23999,26412,25402,25997,25690,24107,24142,23812,21373,,17465,,
633,23971,25435,26556,25403,26860,25690,23961,24142,23668,21228,,17611,,
634,24118,25435,26556,25403,26716,25690,23961,24142,23523,21228,,17321,,
635,24409,25435,26556,25403,26428,25690,23816,24142,23523,21228,,17321,,
636,,25435,26556,25405,26140,25690,23816,25842,23523,21085,,17177,,
637,,23855,26556,25405,25852,25690,23671,25842,23523,21085,,,,
638,,25435,26700,25405,26859,25690,23671,24284,23378,21085,,,,
639,,25435,26701,25405,26571,25690,23526,24285,23378,21085,,,,
640,,23855,26699,25406,26283,25690,23526,24285,23378,20942,,,,
641,,25291,26699,25406,25995,25690,23380,25986,23235,20942,,,,
642,,25291,26699,25406,27002,25690,23236,25986,23235,20796,,,,
643,,25291,26699,25407,26714,25690,23091,25986,23089,20796,,,,
644,,25291,26699,25407,26426,25690,23092,25985,23089,20796,,,,
645,,25291,26699,25407,25994,25690,22946,25985,23089,17654,,,,
646,,23711,26699,25263,27289,25690,22946,25985,23089,17654,,,,
647,,25291,26553,25264,26857,25690,22801,25985,22944,20653,,,,
648,,25291,26553,25264,26569,25690,22654,26123,22800,20653,,,,
