,A07,A10,B25,B02,B22,A15,A08,A09,B05,B07,A02,A04,A14,A27,B17,B10,B14,B13,A03,B06
154,,29780,20270,19130,20554,21571,25487,21982,22833,27594,28165,24767,24436,24724,24567,25343,25023,24420,26997,17247
155,,30093,20270,19131,20554,21571,25487,22126,22833,27594,28165,24767,24436,22744,24567,25343,25023,24420,26997,16496
156,,29647,20271,19132,20554,21714,25487,22125,22833,27594,28165,24767,28473,22744,24282,25343,25167,24420,26997,16496
157,,28740,20271,19132,20554,21714,25487,22269,22833,28607,28165,24767,24436,22744,24282,25487,25167,24420,26997,16496
158,,28618,20128,19133,21267,21715,25343,22269,22977,28607,28165,27000,24436,22744,24282,25487,25311,24420,26997,16496
159,,28618,20128,19134,21267,21715,25343,22269,22977,31076,28165,27000,24436,22744,24282,25487,25311,24420,26998,16496
160,,28618,20272,19278,21267,21715,25343,22269,22977,31076,28165,27000,24436,22744,24282,25487,25454,24420,26998,16496
161,,28900,20129,19135,21267,21859,25343,22269,22978,31076,28018,27000,24436,22744,24282,25487,25454,24420,26998,16496
162,,28900,20129,19279,21267,21859,25343,22269,22978,31076,28018,27000,24436,22744,24282,25487,25454,24420,26998,16496
163,,28618,20129,19280,21267,21859,25343,22413,22978,31076,28018,27000,24436,22744,24567,25487,25598,24420,26998,16496
164,,28900,20129,19280,21267,21859,25343,22413,22978,31076,28018,27000,24436,22744,24567,25487,25742,24420,26998,16496
165,,28900,20130,19281,21126,22003,25343,22413,22978,31076,28018,27000,24436,22744,24567,25487,25742,24420,26854,16496
166,,28900,20130,19282,21126,22003,25343,22414,23122,31076,28018,27000,24436,22744,24567,25487,26032,24420,26854,17247
167,,28900,20130,19283,21126,22003,25343,22414,23122,31076,28018,27000,24436,22744,24567,25487,26176,24276,26855,16496
168,,28900,20130,19283,21126,22004,25343,22557,23122,31076,28018,27000,24436,22744,24567,25487,26176,24276,26855,16496
169,,28900,20131,19727,21126,22004,25343,22557,23122,31076,28304,27000,24436,22744,24567,25343,26320,24276,26855,16496
170,,28900,20131,19727,20986,22004,25199,22557,23122,31076,28304,26289,24436,24724,24567,25343,26320,24276,26855,16496
171,,28900,20131,19727,20986,22004,25199,22557,23266,31076,28018,25865,24436,22744,24567,25343,26464,24276,27000,16496
172,,28900,19988,19727,20986,22148,25199,22557,23266,31076,28018,25441,24436,22744,24567,25199,26464,24276,26857,16496
173,,28900,19988,19727,20986,22148,25199,22701,23266,31076,28159,25441,24704,24724,24567,25199,26607,24276,26857,16496
174,,28900,19989,19727,20986,22148,25199,22701,23266,31076,28159,26296,28737,25290,24567,25055,26607,24276,26857,16496
175,,28900,19989,19727,20986,22148,25199,22701,23267,31076,28018,26351,25859,24724,24567,25055,26751,24276,26857,16496
176,,28900,19989,19727,21129,22292,25199,22702,23409,31076,28159,26639,24704,24724,24567,24911,26751,24276,26857,16496
177,,28900,19990,19727,21272,22292,,22702,23409,31076,28159,26639,24704,23745,24567,24911,26895,24276,26857,16496
178,,28900,19990,19727,21272,22292,,22702,23409,28607,28159,30210,25859,26296,24567,24767,27039,24276,26857,16496
179,,28900,19990,19727,21272,22293,,22845,23553,28607,28159,30210,28737,26296,24567,24767,27039,24131,26713,17247
180,,28900,19990,19727,21272,22293,,22845,23553,26017,28159,30210,28737,26296,24567,24623,27183,24131,26713,17247
181,,28900,19990,19727,21272,22436,,22845,23553,26017,28159,30527,27733,26296,24567,24623,27183,24131,26713,16496
182,,28903,19991,19727,21272,22436,,22845,23553,26155,28015,30239,27735,26296,24567,24623,27473,24131,26713,16496
183,,28903,19991,19727,21272,22437,,22989,23554,26045,28016,29807,28024,26296,24567,24479,27617,24132,26713,16496
184,,28903,19991,19727,21272,22437,,22989,23554,26155,28015,29375,28026,26296,24567,24479,27761,24132,26713,16496
185,,28076,19991,19727,21272,22437,25343,22989,23554,26158,28015,28943,27884,26296,24567,24335,27761,24132,26569,16496
186,25343,28076,19848,19727,21272,22581,25487,22989,23554,26158,27872,28655,27886,26296,24567,24335,27905,24132,26570,16496
187,26639,28221,19848,18691,21272,22581,25487,22989,23554,26048,27871,28223,27888,26296,24567,24191,27905,24132,26570,16496
188,,28218,19849,18691,21272,22581,25487,22989,23698,26048,27871,27935,28033,26296,24567,24191,28048,24132,26570,16496
189,,28363,19849,19583,21272,22581,25487,23133,23698,26158,27726,27503,28035,25899,24567,24191,28048,24132,26570,16496
190,,28363,19849,19583,21272,22725,25487,23133,23698,26158,27726,27071,28037,25756,24567,24047,28192,24132,26570,16496
191,,28507,19849,19583,21272,22725,25487,23276,23699,26158,27726,26639,28039,25470,24567,24047,28336,24132,26570,16496
192,,28506,19849,19439,21272,22725,25487,23276,23699,26048,27582,26639,27897,25183,24567,23903,28336,24132,26570,16496
193,,28506,19850,19439,21272,22726,25487,23277,23699,26158,27582,26639,28186,25041,24567,23903,28480,24132,26426,16496
194,,28651,19850,19439,21272,22726,25487,23277,23699,26158,27582,26639,29048,24755,28315,23759,28480,23987,26427,16496
195,,28651,19850,19439,21272,22726,25487,23277,23699,26048,27437,26639,29048,24468,28315,23759,28624,23987,26427,16496
196,,28793,19850,19295,21272,22726,25487,23277,23843,26158,27437,26639,27496,24724,28315,23615,28768,23987,26427,16496
197,,28793,19707,19295,21272,22870,25487,23277,23843,24282,27292,26063,26771,25290,28315,23615,25714,23987,26427,16496
198,,28793,19851,19295,21272,22870,25631,23277,23843,23858,27293,25487,26045,24724,28315,23615,25714,23987,26427,16496
199,,28938,19851,19295,21272,22870,25631,23421,23843,23858,27293,24767,25465,24724,28315,23471,25714,23987,26427,16496
200,,28936,19851,19295,21273,23014,25631,23421,23843,26158,27292,24322,24740,24724,31075,23471,25714,23987,26284,16496
201,,29081,19851,19151,21273,23014,25631,23421,23986,26158,27148,24567,25856,24724,31075,23327,25714,23987,26284,16496
202,,29081,19708,19151,21273,23014,25631,23422,23986,26158,27148,24707,25856,24724,28315,23327,25714,23987,26284,16496
203,,29081,19708,19151,21273,23015,25631,23564,24130,26048,27147,24707,25856,24724,31075,23183,25714,23987,26284,16496
204,,29224,19852,19151,21273,23015,25631,23564,24130,26158,27004,22723,25714,24724,31076,23183,25715,23987,26284,16496
205,,29224,19852,19007,21273,23015,25631,23708,24130,,27002,24707,25714,24724,31077,23039,25860,23987,26284,16496
206,,29368,19852,19007,21273,23158,25631,23708,24130,,25564,24707,25714,24724,31078,23039,25860,23987,26284,16496
207,,29369,19709,19007,21273,23159,25631,23708,24130,,26571,24707,25714,24724,31078,23039,25861,23987,26140,16496
208,,29367,19709,19007,21417,23159,25631,23709,24274,,26283,24707,25714,24724,31080,22895,25861,23987,26140,16496
209,,29511,19710,18860,21562,23159,25631,23709,24274,,25995,23020,25714,24724,31081,22895,25862,23986,26141,16496
210,,29511,19710,18860,21707,23303,25775,23709,24274,,27002,23463,25714,24724,31081,22751,26007,23842,26141,16496
211,,29655,19710,18860,21852,23303,25775,23709,24275,,26714,24047,25714,24724,31082,22751,26007,23842,26141,16496
212,,29654,19710,18713,21997,23303,25775,23709,24275,17809,26426,25055,25714,24724,31083,22607,26008,23842,26141,16496
213,,29654,19710,18570,22142,23303,25775,23709,24275,19392,25994,26063,25714,24724,31084,22607,26008,23842,26141,16496
214,,29799,19710,18570,22287,23447,25775,23852,24275,21264,27289,26927,25714,24724,31085,23156,26008,23842,26141,16496
215,,29799,19711,17523,22432,23447,25775,23996,24275,23423,26857,24707,25714,24724,31086,25055,26153,23842,26141,16496
216,,29797,19711,17523,22577,23447,25775,23996,24419,26158,26569,24707,25856,24724,31087,25199,26153,23842,25997,16496
217,,29942,19711,17523,22578,23448,25775,23996,24419,26158,27431,24707,25856,24724,31087,25343,26154,23843,25998,16496
218,,29942,19711,17523,22723,23448,25775,23997,24419,26158,26857,24707,25856,26444,31087,25487,26154,23843,25998,16496
219,,29942,19711,17523,23011,23448,25775,23997,24419,26158,26857,24707,25856,26443,30943,25631,26155,23843,25998,16496
220,,30085,19711,17523,23013,23448,25775,23997,24419,26158,26857,24707,25856,26443,30943,25775,26300,23843,25998,16496
221,,30085,19568,17523,23158,23592,25775,23997,24563,26158,27724,24707,25856,26443,30799,25919,26300,23843,25998,16496
222,,30229,19568,17523,23303,23592,25919,23997,24563,26158,27290,24707,25856,26444,30656,26063,26300,23843,25853,16496
223,,30625,19712,17523,24911,23592,25919,24141,24563,26158,26857,24430,25856,26443,30656,26207,26300,23843,25853,16496
224,,31074,19712,17523,24911,23736,25919,24141,24563,26158,26857,24430,25856,26443,30512,26351,26301,23697,25853,16496
225,,31074,19569,17523,24911,23736,25919,24141,24564,26158,26857,24430,30777,26443,30512,26495,26302,23698,25853,16496
226,,31073,19569,23144,24911,23736,25919,24284,24707,26158,27288,24430,25856,26443,30368,26639,26446,23698,25709,16496
227,,31073,19570,23424,24911,23880,25919,24284,22723,26158,27288,24430,24556,26443,30368,26783,26446,23698,25709,16496
228,,31073,18575,23424,24767,23737,25919,24428,22723,26158,27288,24430,23406,26443,30224,26927,26446,23698,25710,16496
229,,31072,18575,23424,24767,23737,25919,24428,24707,26158,27288,24430,24556,26443,30080,27071,26447,23698,25710,16496
230,,31082,19570,23424,24767,23881,25919,24428,25721,25005,26857,24430,24556,26444,30080,27359,26448,23698,25710,16496
231,,31095,18719,22595,24767,23881,25919,24428,24707,25005,27288,24430,23406,26444,29936,27357,26592,23698,25710,16496
232,,30956,18719,23424,24767,23881,25919,24429,25721,26158,27288,24430,23406,26443,29936,27357,26593,23698,25710,16496
233,,29763,18863,22595,24767,23881,25919,24429,25721,25005,27288,24430,23406,26443,29792,27500,26593,23698,25710,16496
234,,29763,19007,22451,24767,23881,26063,24429,25322,25005,23704,24430,24556,26443,29648,27788,26593,23698,25566,16496
235,,29763,19007,22453,24767,24025,26063,24429,25176,25005,23280,23890,24556,26443,29648,27932,26594,23698,25567,16496
236,,29763,19151,22453,24767,24025,26063,24429,24888,26158,26857,23890,23406,26444,29505,27785,26594,23698,25567,16496
237,,29369,19151,22311,24767,24025,26063,24716,24742,26158,25995,24034,23406,26443,29505,27929,26739,23698,25567,17247
238,,29804,19295,22311,24767,24025,26063,24716,24598,25005,25564,24176,23406,26443,29361,27928,26739,23698,25567,16496
239,,30095,19295,22169,24767,24169,26063,24716,24453,25005,26140,24176,23406,24724,29361,28216,26739,23697,25567,16496
240,,30527,19439,22169,24767,24169,26063,23280,24308,25005,25709,24320,23406,24724,29217,28069,26740,23553,25567,16496
241,,31072,19439,23141,24767,24169,26063,23280,24707,25005,25422,24464,23406,24724,29073,28213,26740,23553,25567,16496
242,,31072,19583,,24767,24169,26063,23280,20715,25005,25998,24463,23406,24724,29073,28357,26740,23553,25423,16496
243,,31072,19583,,24623,24313,26063,23280,18419,25005,25711,24607,23406,24724,28929,28501,26740,23553,25423,16496
244,16202,31072,19727,,24623,24170,26063,23280,15836,25005,25136,24751,23406,24724,28929,28354,26885,23553,25423,16496
245,16202,31072,19727,,24623,24170,26063,23280,13679,26158,24993,24749,23406,24724,28785,28497,26886,23553,25423,16496
246,16633,31072,19871,,24623,24170,26207,23280,14089,25327,25569,24893,23406,24724,28641,28641,26886,23553,25423,16496
247,17525,31072,19871,,24623,24170,26207,23280,12095,25005,25138,24893,23406,24724,28641,28929,26886,23553,25279,16496
248,16777,31072,20015,,24623,24170,26207,23280,12527,25005,24995,25037,23406,24724,28497,25435,26886,23553,25280,16496
249,17525,31072,20015,,24623,24314,26207,23280,12959,25005,24852,25180,23406,24724,28497,25435,26887,23553,25280,17247
250,17525,31072,20159,21848,24623,24314,26207,23280,13391,26158,25140,25180,23406,24724,28354,28782,27032,23553,25280,16496
251,16777,31072,20303,21847,24623,24314,26207,23280,13967,26158,24997,25324,23406,24724,28354,28782,30669,23553,25280,16496
252,16777,31072,20303,21847,24623,24314,26207,23280,14399,26158,24710,25721,23406,24724,28354,28782,30526,23553,25280,16496
253,16777,31072,20303,21847,24623,24458,26207,23280,14831,18136,25142,24893,23406,24724,28210,28782,30526,23553,25280,16496
